cluster_type,cluster_id,member_count,document_count,documents,sample_text,member_block_ids
exact,EXACT-011,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To delete a reserved address entry:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the o,c9375949-fa5d-50d6-a813-d4c0d9974145;416baf14-c062-560a-8617-f0bb13fcc432;736f0fb5-0ecd-5316-9090-f19234ded501;a0a531b5-16a3-5a94-914b-de4d6188a967;160a1642-0f54-5818-802e-c1fa87c26572
exact,EXACT-012,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To delete a static route:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that yo,d1b701cc-f28a-5837-9f3c-cdac4505ef69;a11adf43-ad7b-5ec4-a542-ff6059b1faf4;61d02bda-440a-5079-9cda-761992357987;dcf38599-337c-5393-b7b9-ceaa44e8b7e5
exact,EXACT-013,3,3,netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To delete keywords from the list:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one,71242ec0-6c32-5875-a2e1-613c89d55362;129bd376-7038-5168-ad65-325a145fb1dd;cf0293fb-1dc6-51dd-9388-a825d0c3a38f
exact,EXACT-014,4,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To display the statistics of the Internet port:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The passw,8797aa97-5d6c-50dc-aa5e-f2974c7ee729;42130aae-eac0-5ac7-a846-a6c53650dc9e;b87ad35e-a696-5e21-9a61-0c67caa43972;ddc09136-a105-5cb9-b53f-e28a6e110d9c
exact,EXACT-015,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To edit a port forwarding entry:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router user name and password. The user name is **admin**. The password is the one that y,3d1146f4-9329-5a7a-b415-bec9f4383989;c2704dca-8973-5ecf-af15-2fedb90d9ea4;2ed0f550-d321-5128-adb1-e9c20e3caf10;eba2b965-24f9-5445-b347-0603bdb1b5b1
exact,EXACT-016,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To edit a reserved address entry:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one,58705265-85c2-53cb-9a31-985904b45791;c03fece9-71eb-590c-bc23-3d5a9d175b2b;79da6936-bc1d-53fc-b043-434193a77ba9;1be33f2b-4682-5836-9ce0-8b2da0854ebd;56457cf2-6dc5-5268-ad7e-673ed5c71554
exact,EXACT-017,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To edit a static route:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that you ,c6d56bf0-07ac-59cd-b10e-a8602b7c525b;86faf957-363b-599c-8ec9-4675a7d0bbd5;bece1ab6-7c5f-5357-ae8a-93d0618f4693;fa04607d-bb42-5852-a744-4d283facfea4
exact,EXACT-018,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To enable port triggering:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that y,d3434e35-bd8e-5fb1-abf1-dc473fa6e873;575c6b1c-9e4b-56a9-bd75-b674c7cc08ea
exact,EXACT-019,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To enable port triggering:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that y,e73565d7-c70f-5c33-90a9-dde4b0e36036;340cd592-e47c-5cb9-a17f-b6986fbed3b6
exact,EXACT-020,3,3,netgear-r6350.pdf;netgear-r7000.pdf;netgear-raxe500.pdf,"**To find and select the WiFi network:** 1. Make sure that the router is receiving power (its Power LED is lit). 2. On your computer or WiFi device, find and select the WiFi network. The WiFi network name is on the router label. 3. Join the WiFi network and enter the WiFi password. The password is o",973675a2-5b9b-5f2a-90c6-c2c5661fd7b9;b1147279-285c-50dc-965c-7722351f3563;a3662689-f8b9-5c28-8c0a-b2185487bec9
exact,EXACT-021,6,6,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf;netgear-xr500.pdf,"**To map the USB storage device to a Windows network drive:** 1. Connect a USB storage device to a USB port on your router. 2. If your USB storage device uses a power supply, connect it. You must use the power supply when you connect the USB storage device to the router. When you connect the USB sto",99499532-5b21-5760-a622-cfdce7cb36f4;12d64457-dfc6-5d29-aa0d-90e9f872858e;67d37d9f-924e-5891-a590-5e0456de8190;38935138-fe5f-53d0-96cd-d82b39ade28f;beab9bff-68a2-5fc2-b90b-78ecc9a9d1bb;4e8b339d-c5a5-5e03-8c6a-81a9ed35b46a
exact,EXACT-022,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To reserve an IP address:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that yo,1ffc5577-ba76-5c13-96f7-9639c441a28b;f2e671d8-fc06-516e-a030-49f849e9bcc9
exact,EXACT-023,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To reserve an IP address:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that yo,ebd82415-b17d-5082-8472-3811a168faaf;d9126cb8-c360-58f8-aa45-792ae9ed2942
exact,EXACT-024,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To restore configuration settings that you backed up:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The,938592e1-dee5-5cd2-8afa-57a8eaba29ca;fb23ab13-e522-5a5c-a80f-07d1721bf673;71c44f89-9408-566a-8009-071204b133f5;98cfa2a4-509e-5858-8e32-2a914f7b5f31;95f03e54-32c4-532b-90b9-d99dca0703d6
exact,EXACT-025,2,2,netgear-rax120.pdf;netgear-raxe500.pdf,**To set up a fixed IPv6 Internet connection:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password ,4a9ce789-e3b1-555b-a082-3e0ead079683;5ffc76ec-562d-5557-911f-c46c77ba633f
exact,EXACT-026,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To set up a PPPoE IPv6 Internet connection:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password ,b3bbb7b6-6221-5146-8dbd-cdde9357f46e;f2626b4f-ec75-565c-aad5-50019b2dd1b4
exact,EXACT-027,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To set up a PPPoE IPv6 Internet connection:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password ,6e92a69d-373f-5098-bee7-50bde9df8f04;84c85809-aca9-59ec-93c0-ca4292209b4e
exact,EXACT-028,3,3,netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To set up a static route:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that yo,bc8337d2-3872-5618-b506-0d822d45e4b2;28c314aa-4846-57ee-8e79-45904dfd82a9;1cca40db-a372-5b75-8871-a228a236a732
exact,EXACT-029,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To set up an IPv6 Internet connection through auto configuration:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **,bfb01473-83e4-52e3-ab1d-0f74fe7aa76f;e87e22a2-a89c-58a7-9ff2-ff82463e19a7
exact,EXACT-030,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To set up an IPv6 Internet connection through autodetection:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin,b599fbfb-3343-57c9-9850-044f73b384dd;269f6592-29ff-59aa-bc70-068bab8f5d37;ee07852d-b609-5f27-bc97-a2f0b1878979;9a7f1203-3a55-523e-9165-6b75f8b0e5b7
exact,EXACT-031,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To set up an IPv6 Internet connection with a DHCP server:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**.,e31d999c-67c2-5b3d-b8af-b7c8a950fac4;787ded8d-2851-5792-9481-a934897e080a
exact,EXACT-032,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To set up an IPv6 Internet connection with a DHCP server:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**.,dc422621-24b7-54e5-a4f4-04d08a64a03c;5c7cdd1d-9c90-5e6d-ab8c-3d5c3661a3fe
exact,EXACT-033,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To set up Dynamic DNS and register for a free NETGEAR account:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **adm,48bda8e9-7b0c-5d95-820a-fe1083ab0fe3;783c82c2-918a-5720-bef4-85781ad2af99;f54b1f1e-caf6-5cc7-8ff2-e7a5c4f0271f;c61b475f-2cda-58b2-a65a-bce377f0dd23;b9c49a73-9552-585d-be43-2c72259fffb1
exact,EXACT-034,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To set up FTP access:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that you sp,7bc54898-3a09-5f69-a7a4-3aef1cc99047;dfd26dbb-425e-581f-b9d2-3d4185eed488
exact,EXACT-035,2,2,netgear-r6350.pdf;netgear-r7000.pdf,**To set up remote management:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that,ca6f126f-0768-5543-9bb1-a7cd099fd58f;79d677ad-2fef-50d3-92dd-c07a6df0f14e
exact,EXACT-036,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To set your time zone:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that you s,1c87234f-8aff-560c-8028-20099626deb5;5f21bf59-b1a4-5c68-923b-d8f5d1fb5903;0e390b06-fbf5-5686-98c1-f58bf84eb35d;8533530e-9001-5a31-a453-6077909ff031
exact,EXACT-037,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-raxe500.pdf;netgear-xr500.pdf,"**To turn the WiFi radios off and on with the WiFi On/Off button:** Press the **WiFi On/Off** button on the top of the router for two seconds. If you turned off the WiFi radios, the WiFi On/Off LED and the WPS LED turn off. If you turned on the WiFi radios, the WiFi On/Off LED and the WPS LED light.",dc35cd5e-b23a-5e7b-aab7-9e6ad0d8b7b8;b6cc7aff-44a9-5be7-9857-6f294095095e;b270b282-ddfc-5883-a9a9-a5c6e89c78f1;d69824d7-45b6-521e-a423-b608947134d5
exact,EXACT-038,3,3,netgear-r6350.pdf;netgear-r7000.pdf;netgear-xr500.pdf,"**To use remote access:** 1. Launch a web browser on a computer that is not on your home network. 2. Type your router’s WAN IP address into your browser’s address or location field followed by a colon (:) and the custom port number. For example, if your external address is 134.177.0.123 and you use ",12dad281-8f10-5bdd-9516-33bed9a6e3ba;c63a4385-d5ca-500b-bb85-d656176fdbe2;14b57c4b-4261-5548-ac01-6cc717113e28
exact,EXACT-039,2,2,netgear-r7000.pdf;netgear-rax50.pdf,"A guest network allows visitors to use the Internet without using your WiFi security password or with a different WiFi password. By default, the guest WiFi network is disabled. You can enable and configure the guest WiFi network for each WiFi band. The router simultaneously supports the 2.4 GHz band",ea3745ca-4683-568d-9be9-698245bac67a;4992ee82-9f24-5875-a9b2-20166c42e272
exact,EXACT-040,3,3,netgear-r6350.pdf;netgear-r7000.pdf;netgear-raxe500.pdf,"A virtual private network (VPN) lets you use the Internet to securely access your network when you aren’t home. This type of VPN access is called a client-to-gateway tunnel. The computer is the client, and the router is the gateway. To use the VPN feature, you must log in to the router and enable VP",f9ad8237-b940-5dc2-8324-e0c13ae2416e;15c023d1-7e9a-592e-8b62-0ff32fbdba8d;98ccf5bb-b3e3-5845-bdf3-0ece4cc86891
exact,EXACT-041,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"After you turn on power to the router, verify that the following sequence of events occurs: 1. When power is first applied, verify that the Power LED is lit. 2. After about two minutes, verify the following: • The Power LED is lit. • The Internet LED is lit. • The WiFi LED is lit (unless you turned ",b27b612a-5c9c-5c3a-bfbf-41380f330f63;262ff6ae-df0c-585e-bed0-094aea4c3092;53092283-1630-580a-ae86-48bf4df08b16;21ccea99-0207-56f5-9a25-6825b90b3b6b;783a8e52-9803-5b2d-be02-7ecc5d1f960e
exact,EXACT-042,3,2,netgear-rax120.pdf;netgear-rax50.pdf,"AX WiFi improves your network’s capacity, Internet upload and download speeds, and WiFi range by allowing WiFi traffic from different devices to be concurrently managed. To do this, AX WiFi uses Orthogonal Frequency-Division Multiple-Access (OFDMA), 4x4 multi-user MIMO, and intelligent scheduling. A",69c05c19-a059-5b0b-b939-5b35746470fd;b19ab74d-3e56-5b7a-9a6b-cc50c31804e0;684e63e0-b298-5126-8bf3-02cd19690596
exact,EXACT-043,4,4,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-xr500.pdf,"Before you back up a large amount of data with Time Machine, we recommend that you follow this procedure. **To prepare to back up a large amount of data:** 1. Upgrade the operating system of the Mac computer. 2. Verify and repair the backup disk and the local disk. 3. Verify and repair the permissio",6b3d0151-b57d-531d-a1b7-3c7c00f827c7;8eae853b-e198-5bdf-9138-1f23b9289367;e33a569c-4d4b-5980-bb49-1ddc090aa2c7;6d199986-a8f1-587d-9ed0-55361733df1f
exact,EXACT-044,3,3,netgear-r7000.pdf;netgear-rax120.pdf;netgear-raxe500.pdf,"Before you install your router, extend the antennas as shown in the following figure. Figure 4. Position the antennas",3a1734ad-bf5d-5755-a2dc-e3c8ff267eaa;aa3b1203-d4b7-598a-a240-e7a404e17934;0cc898f1-9c6e-5982-9bab-2fd9bfe720d5
exact,EXACT-045,3,3,netgear-r7000.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"Before you physically disconnect a USB storage device from the router USB port, log in to the router and take the USB storage device offline. **To remove a USB storage device safely:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http:/",f53d0043-7e92-5117-9828-95f8161455a0;d11a025c-810a-5cee-85ba-56d4a6ac96f6;eaa8444a-32f2-5dda-9a31-ec9949be4c14
exact,EXACT-046,4,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"By default, the language that displays when you log in to the router web interface is set to Auto. **To change the language:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the",828f4d55-febe-5dbd-a701-f2a193bb73b3;dfee3773-69cd-5ee3-b119-604a4e77696d;530e409d-b4d7-5f03-9c6f-e386dd983ae8;eae3c8b9-6532-5ee3-be50-bdecc1738439
exact,EXACT-047,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"By default, the router acts as a DHCP server. The router assigns IP, DNS server, and default gateway addresses to all computers connected to the LAN. The assigned default gateway address is the LAN address of the router. You can use another device on your network as the DHCP server or specify the ne",c5b7a190-89b3-5c81-9acd-0435214b816d;53656349-6299-5e05-8f28-86238d09b54a;4e4130d9-8486-53ba-8a39-75b60fe1e008;8dba79ed-9bf8-5cb2-833b-a493317e765e
exact,EXACT-048,3,3,netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"By default, the router acts as a Dynamic Host Configuration Protocol (DHCP) server. The router assigns IP, DNS server, and default gateway addresses to all computers connected to the LAN. The assigned default gateway address is the LAN address of the router. These addresses must be part of the same ",3a3c26ae-1836-5453-b7c4-c85f35296488;a6f5bbc3-e697-5aa5-bbe8-9237b93ff804;01cd477a-47d2-5fed-a150-f3482022089e
exact,EXACT-049,4,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"By default, the router uses standard LED settings.",da60cb92-8d65-5aae-afac-7d030c7679cf;19e03d29-379e-5c70-aef8-bc0dd4ff222d;48cb81fd-084d-5c51-9e7e-697baa4ec6f4;fcd0539a-db5a-518b-80e5-b93ab799accc
exact,EXACT-050,2,1,netgear-r7000.pdf,"By default, the router uses the NETGEAR NTP server to sync the network time. You can change the NTP server to your preferred NTP server. **To change the NTP server to your preferred NTP server:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Ent",d4980606-c8d1-5aca-adbe-96e35254c9e1;e0a29d83-bb4e-5486-bac0-906091d1c384
exact,EXACT-051,3,3,netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"By default, the router uses the NETGEAR NTP server to sync the network time. You can change the NTP server to your preferred NTP server. **To set the NTP server:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net*",db961a8c-9ae1-5b21-8b0a-91612be11df4;44e7186a-d80b-519f-b7c8-793cc38b95ad;29f43702-7db0-5452-b0a7-d5a2155c5b59
exact,EXACT-052,3,3,netgear-r7000.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,File Transfer Protocol (FTP) lets you download (receive) and upload (send) large files faster. **To enable FTP access within your network:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens,63bc8350-f409-5083-aac5-1ec432315249;540adef2-c527-5db1-bc2f-8ce012c8629e;c0a0a256-1dcf-56d0-bcac-4e100bd17821
exact,EXACT-053,2,2,netgear-rax120.pdf;netgear-rax50.pdf,"For almost all Internet traffic, routes are automatically and dynamically selected. You can also set up a fixed, static route. Typically, you only need to add static routes when you have more than one router or multiple IP subnets on your network. As an example of when a static route is needed, cons",cad39326-b673-5a17-908d-458d60b7924a;7da5e59b-bf21-51df-a65d-df2d9e015b1f
exact,EXACT-054,2,2,netgear-r7000.pdf;netgear-xr500.pdf,"For each computer, after you click the **Connect** and **Disconnect** buttons once, the utility automatically manages the printing queue. By default, the utility starts automatically whenever you log on to Windows and runs in the background. **To print a document using the NETGEAR USB Control Center",ea698470-b732-5eb5-92d3-6b376673b14e;90bbdb2b-c64c-5bd8-94b9-5c7eb16c8994
exact,EXACT-055,3,3,netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"If the devices that are connected to the router’s Ethernet LAN port or WiFi network include an IPTV device, your ISP might require you to set up a bridge for a port group for the router’s Internet interface. A bridge with a port group prevents packets that are sent between the IPTV device and the ro",91c51a45-4438-5fd7-8259-87a71e542abf;2b5d938a-b1e8-5d4a-ba62-4db61c7c1ca2;2f3115a8-1163-5a5b-acdb-0e08431da1a4
exact,EXACT-056,2,2,netgear-rax120.pdf;netgear-raxe500.pdf,"If the devices that are connected to the router’s Ethernet LAN ports or WiFi network include an IPTV device, your ISP might require you to set up a bridge for a VLAN tag group for the router’s Internet interface. If you are subscribed to IPTV service, the router might require VLAN tags to distinguis",17ab9b62-91e6-5cbb-8b64-c61ffa950c4a;2a1bf140-8dee-5ac4-98a4-1486d8609428
exact,EXACT-057,4,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"If the Internet LED or Ethernet LAN port LEDs do not light when an Ethernet connection is made, check the following: • Make sure that the Ethernet cable connections are secure at the router and at the modem or computer. • Make sure that power is turned on to the connected modem or computer. • Be sur",0a3e9e25-c2a0-5ff5-9ea7-dfcd3a28faec;dc920b05-a85c-5eba-9f83-24422f755c6c;67345d86-29ac-5778-8a68-f1ea126891ba;5bdfc738-6759-5989-8593-c136736f1af8
exact,EXACT-058,6,6,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf;netgear-xr500.pdf,"If the router does not save the changes that you make in the router web interface, do the following: • When entering configuration settings, always click the **Apply** button before moving to another page or tab, or your changes are lost. • Click the **Refresh** or **Reload** button in the web brows",89d07740-bf45-5a3f-aae9-8ef36cc53998;f734ce15-6ddb-5765-9867-96cc53a05040;5248213a-8c94-5110-b8b4-37fc33d44bb1;8a1f36b5-aaaa-557d-a7c6-8b9086b7070f;5ce4f4af-eee3-578a-bbc3-a78047c81a93;3aa6e3f0-75c4-5d96-abed-b04479116b9c
