document_id,filename,product_model,block_id,block_type,text,char_count,word_count,token_estimate,page_start,page_end,page_bin,heading_depth,parent_heading_ids,section_path,topic_labels,topic_classification,evidence_shape,table_figure_flag,block_sequence,text_block_sequence,char_start,char_end,text_sha256,question_allowed,review_reason,source_frame_id,duplicate_cluster_id,exact_duplicate_cluster_id,template_duplicate_cluster_id
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,8fd1b794-0507-59d3-88fa-2209736ef6da,TEXT_BLOCK,"After you install the cable modem and activate your Internet service, you can disconnect
the computer and connect a router to the cable modem.
**To connect your cable modem to a router after installation and activation:**
1. Reboot the cable modem by unplugging the power cable from the cable modem
and plugging it back in.
Wait for the Internet LED to stop blinking and light solid white.
2. Use an Ethernet cable to connect the Ethernet port on the cable modem to the WAN
or Internet port on the router.
3. Power on the router.
4. Wait until the router is ready.
5. Connect a computer to the router.
For more information about how to set up your router, see the documentation that
came with your router.",705,127,177,11,12,P2,3,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;949c23eb-822d-58c7-b7c9-930c32d73b85;214a490c-d529-5e3c-8c90-c8b9c0df6214,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,,manual_review_pending,multi_block_procedure,False,21,10,8022,8727,984c256bd82d3586119d6c2e8b6690ca7dc0c6c13f456eb6bddbaaf0d757f80f,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,04fa120c-f70a-5771-82d0-525c222814e1,TEXT_BLOCK,"After you set up the cable modem, you do not need to log in to the cable modem for
normal operation. However, you can log in to the cable modem to change a very limited
number of settings and monitor the cable modem.
This chapter includes the following sections:
• Log in to the cable modem
• Change the admin password
• View cable modem initialization
• View cable modem status
• View and clear event logs
• Specify the cable connection starting frequency
• Reboot the cable modem
• Reset the cable modem to factory default settings",533,98,134,13,13,P3,1,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,Manage Your Network,,manual_review_pending,multi_block_procedure,False,23,11,8728,9261,d016b405573aaddccf57bd5bcc5f7ddbde7097a9e281dd2729da3be041f33d1d,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:04fa120c-f70a-5771-82d0-525c222814e1,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,4cb893dc-21bd-5b88-92cb-a874cd79e74e,TEXT_BLOCK,"**To log in to the cable modem:**
1. Connect a computer to your cable modem.
You can connect a computer to your cable modem using the following methods:
• Connect a computer to your cable modem using an Ethernet connection.
• Connect a WiFi router to your cable modem using an Ethernet connection, and
then connect a computer to your router using a WiFi or Ethernet connection.
2. Launch a web browser.
3. Enter **http://192.168.100.1**.
A login window opens.
4. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.",661,113,166,14,14,P3,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;0d14c314-69fe-5546-8a29-bd062227dd8b,Manage Your Network > Log in to the cable modem,,manual_review_pending,multi_block_procedure,False,25,12,9262,9923,1d13d2ebfee8d440b525312cae0f7ea0a00013033442db4740d6d06559dfa415,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4cb893dc-21bd-5b88-92cb-a874cd79e74e,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,0de5a970-8b6a-5e57-ba98-6f57671a841c,TEXT_BLOCK,"You can change the default password that is used to log in to the cable modem with
the admin user name.
**Note:** Be sure to change the password for the user name admin to a secure password.
The ideal password contains no dictionary words from any language and contains
uppercase and lowercase letters, numbers, and symbols. It must be at least 6 and up
to 32 characters.
**To set the password for the user name admin:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter or **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Select **ADVANCED > Administration > Set Password**.
The Set Password page displays.
5. Type the old password, and type the new password twice.
6. Click the **Apply** button.
Your settings are saved.",964,166,241,14,15,P3,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;3b6d4494-0910-5625-b417-33271fd4b6a2,Manage Your Network > Change the admin password,,manual_review_pending,multi_block_procedure,False,27,13,9924,10888,6039810af018c96b45a71c1e749efbc27f6e466b7708794ed42b402081bf4715,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,TEXT_BLOCK,"You can track the initialization procedure of the cable modem and get details about
the downstream and upstream cable channel. The time is displayed after the cable
modem is initialized.
The cable modem automatically goes through the following steps in the provisioning
process:
1. Scans and locks the downstream frequency and then ranges the upstream channels.
2. Obtains a WAN address for the cable modem.
3. Connects to the Internet.
**To view the status of the cable modem initialization:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Select **Cable Connection**.
The Cable Connection page displays.
The Startup Procedure section displays the initialization progress. The page also
displays the status of all downstream and upstream channels. (You must scroll down
to view all the channels.) The number of downstream and upstream channels that
are locked depends on the number of channels that your Internet provider uses.",1223,194,306,15,15,P3,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;3267e31d-06e1-52ec-9be0-daf2ee12b678,Manage Your Network > View cable modem initialization,,manual_review_pending,multi_block_procedure,False,29,14,10889,12112,3734cff333151c76cc7f7604c8704dd37bfeb3bd221a89cd39c083eaaebb47ce,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,89ec02e1-535c-52f6-9162-6966ecfbb9c3,TEXT_BLOCK,"**To view cable modem status and usage information:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Click the **ADVANCED** tab.
The ADVANCED Home page displays information about your cable modem.",490,79,123,16,16,P3,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;3459eefa-44c1-5b42-ace0-13f6dddd8d51,Manage Your Network > View cable modem status,,manual_review_pending,multi_block_procedure,False,31,15,12113,12603,6178223ecaa60639d664a18b3eca5bf6acddea12170faf0721f14297bbb780d1,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:89ec02e1-535c-52f6-9162-6966ecfbb9c3,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,TEXT_BLOCK,"Event logs capture important cable modem events.
**To view and clear the event logs:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Select **ADVANCED > Administration > Event Log**.
The Event Log page displays the following information:
• **Time**. The time the event was recorded.
• **Priority**. The severity for this event.
• **Description**. A description of this event.
5. To refresh the page, click the **Refresh** button.
6. To clear the log entries, click the **Clear Log** button.",785,128,197,16,16,P3,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;951e30e0-5ea7-567f-ab0d-e895d13ffa50,Manage Your Network > View and clear event logs,,manual_review_pending,multi_block_procedure,False,33,16,12604,13389,e81bfe74e3f877884894c292436d737c77fe9b4124f62bbd8776674bee93ea7c,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,d4e41f41-b904-5986-9e36-8f33dd80da5c,TEXT_BLOCK,"The starting frequency is automatically generated. For most Internet connections, you
do not need to specify this information. If you must enter a starting frequency, contact
your Internet provider.
**To change the starting frequency:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Select **Cable Connection**.
The Cable Connection page displays the status of all downstream and upstream
channels.
5. In the **Starting Frequency** field, type a number as instructed by your cable Internet
provider.
6. Click the **Apply** button.
Your settings are saved.",850,132,213,17,17,P4,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;f82e3bfa-b979-56d1-81a5-1a75022e378b,Manage Your Network > Specify the cable connection starting frequency,,manual_review_pending,multi_block_procedure,False,35,17,13390,14240,82c8fc50474c5860b0856acc1298f30ef1080bbe6028bb04e729bd03e1116a84,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:d4e41f41-b904-5986-9e36-8f33dd80da5c,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,6d3c3709-9edf-533b-925d-d30eb7852b75,TEXT_BLOCK,"Rebooting the cable modem disconnects all network connections to the cable modem’s
local area network (LAN). After the cable modem is finished booting and reestablishes
a connection with the Internet, the devices on your network reconnect to the cable
modem’s LAN.
**To reboot the cable modem:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Click the **ADVANCED** tab.
The ADVANCED Home page displays.
5. Click the **Reboot** button.
A confirmation message displays.
6. Click the **OK** button.
The cable modem reboots.",815,130,204,17,18,P4,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;2c65e289-14c5-5b03-ad95-3337a4c6962a,Manage Your Network > Reboot the cable modem,,manual_review_pending,multi_block_procedure,False,37,18,14241,15056,228efa04cd39d67973e9aff958e08c78f0d69138d320c4637b104636a2553877,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:6d3c3709-9edf-533b-925d-d30eb7852b75,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,32161388-87c1-53c5-9f08-9867bf5baeb1,TEXT_BLOCK,"To reset the cable modem to factory default settings, you can use either the **Reset**
button on the back panel of the cable modem or the **Factory reset** software button.
However, if you changed the default password that you use to access the cable modem
and lost the password, you must use the **Reset** button on the back panel.
After you reset the cable modem to factory default settings, the password is printed on
the product label. The LAN IP address is always 192.168.100.1. You cannot change this
LAN IP address.",522,91,131,18,18,P4,2,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;10ef12a9-be6f-50b3-8b8a-7a2aa97815bb,Manage Your Network > Reset the cable modem to factory default settings,,manual_review_pending,single_block,False,39,19,15057,15579,891ce7e4d1d2c06126dd607ba9568fcd1c5191f625b1b287fbc30e818495bca3,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:32161388-87c1-53c5-9f08-9867bf5baeb1,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c5c4c17f-c329-5b9c-837f-7d33e641682f,TEXT_BLOCK,"**CAUTION:** This process erases all settings that you configured in the cable modem.
**To reset the cable modem to factory default settings using the Reset button:**
1. On the back of the cable modem, locate the **Reset** button.
2. Using a straightened paper clip, press and hold the **Reset** button until the cable
modem reboots itself.
The configuration is reset to factory default settings. This process takes about one
minute.",433,70,109,19,19,P4,3,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;10ef12a9-be6f-50b3-8b8a-7a2aa97815bb;0a341e5e-02d2-5640-be56-456e012bd56b,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,,manual_review_pending,multi_block_procedure,False,41,20,15580,16013,19fa53194e51a55a84d3682a497a47bb958a84f02aa6c34153a96b4240ee7ce8,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c5c4c17f-c329-5b9c-837f-7d33e641682f,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,62f9a09d-d5a8-5805-8b92-4d0be62383ce,TEXT_BLOCK,"**CAUTION:** This process erases all settings that you configured in the cable modem.
**To reset the cable modem to factory default settings using the Factory reset**
**software button:**
1. Launch a web browser from a computer that is connected to your cable modem.
2. Enter **http://192.168.100.1**.
A login window opens.
3. Enter the admin user name and password.
The user name is **admin**. The default password is printed on the product label. The
user name and password are case-sensitive.
The BASIC Home page displays.
4. Click the **ADVANCED** tab.
The ADVANCED Home page displays.
5. Click the **Factory reset** button.
A confirmation message displays.
6. Click the **OK** button.
The configuration is reset to factory default settings. When the reset is complete,
the cable modem reboots. This process takes about one minute.
**WARNING:** To avoid the risk of corrupting the firmware, do not interrupt the reset.
For example, do not close the browser, click a link, or load a new page. Do not turn
off the cable modem.",1028,168,257,19,19,P4,3,00cee0ff-7d3f-5d2e-8849-ca000806b8ca;10ef12a9-be6f-50b3-8b8a-7a2aa97815bb;a3606c4f-befa-5c17-b4b4-4717e4f6c4c2,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,,manual_review_pending,multi_block_procedure,False,43,21,16014,17042,adc7d9b39498ad8cd3da2af0211c244ca8d6576d593d5f0e0e383024e126ad79,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:62f9a09d-d5a8-5805-8b92-4d0be62383ce,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,0b4be46a-1b6b-58a7-9c32-aa26b9e82c7c,TEXT_BLOCK,"This chapter provides information about troubleshooting your cable modem.
The chapter includes the following sections:
• Use LEDs to Troubleshoot
• Cannot log in to the cable modem
• Troubleshoot the cable internet connection",225,34,57,20,20,P4,1,bc36a877-e4f8-5d1a-8bf4-4786705b0ff4,Troubleshooting,,manual_review_pending,multi_block_procedure,False,45,22,17043,17268,2c54bc4a957e5659a10038a593fab81f08aeed39f265261946697b66150be4c2,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0b4be46a-1b6b-58a7-9c32-aa26b9e82c7c,,,
